"Profile Information","Profile Information"
"Entity Type","Entity Type"
"Store View","Store View"
"Prefix","Prefix"
"Suffix","Suffix"
"Start Value","Start Value"
"Max Value","Max Value"
"Warning Value","Warning Value"
"Step","Step"
"Pattern","Pattern"
"Status","Status"
"Active","Active"
"Inactive","Inactive"
"Edit Profile","Edit Profile"
"Sequence Profiles","Sequence Profiles"
"Save Profile","Save Profile"
"You saved the sequence profile.","You saved the sequence profile."
"We can\'t save the sequence profile right now.","We can\'t save the sequence profile right now."
"We can\'t find this sequence profile.","We can\'t find this sequence profile."